Target,Area,Number of cars involved,Day,Time of Day,Area Speed,Vertical Align,Road Surface,Moisture Cond,DayNight,CrashType,Crash involvement,Traffic control,Drug_and_Alcohol Involved
Minor,Metropolitan,2,Tuesday,Night,60km/h,Level,Sealed,Dry,Night,Collision with Person/Animal,Driver Rider,No Traffic Control,No
Severe,Metropolitan,2,Tuesday,Night,50km/h,Level,Sealed,Dry,Night,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Tuesday,Morning,50km/h,Level,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Tuesday,Day,50km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,No
Minor,Country,1,Tuesday,Day,90km/h or above,Level,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Minor,Country,1,Tuesday,Day,50km/h,Bottom of Hill,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,Stop Sign,No
Severe,Country,1,Tuesday,Day,80km/h,Slope,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Minor,Country,2,Tuesday,Morning,90km/h or above,Level,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,Yes
Minor,Metropolitan,3,Tuesday,Night,70km/h,Level,Unsealed,Dry,Night,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Country,1,Tuesday,Afternoon,90km/h or above,Level,Unsealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Minor,Country,2,Tuesday,Afternoon,90km/h or above,Level,Unsealed,Dry,Daylight,Collision with Person/Animal,Animal,No Traffic Control,No
Minor,Metropolitan,2,Wednesday,Day,40km/h or under,Level,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Tuesday,Afternoon,50km/h,Level,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Minor,Country,2,Wednesday,Day,90km/h or above,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,Yes
Minor,Metropolitan,3,Wednesday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,No
Severe,Country,2,Wednesday,Day,90km/h or above,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Give Way Sign,No
Minor,Metropolitan,2,Wednesday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Fatality,Country,2,Wednesday,Afternoon,90km/h or above,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Thursday,Morning,60km/h,Level,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,Traffic Signals,No
Minor,Country,2,Wednesday,Day,80km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Severe,Country,2,Thursday,Day,90km/h or above,Level,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Minor,Metropolitan,3,Thursday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Thursday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Thursday,Afternoon,50km/h,Level,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Minor,Metropolitan,3,Thursday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,Traffic Signals,No
Minor,Metropolitan,2,Thursday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,3,Friday,Morning,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Friday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Country,1,Friday,Day,90km/h or above,Level,Unsealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Fatality,Metropolitan,3,Friday,Day,70km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Friday,Day,50km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,3,Friday,Day,70km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,No
Minor,Metropolitan,2,Friday,Afternoon,70km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,No
Minor,Metropolitan,2,Friday,Evening,80km/h,Level,Sealed,Dry,Night,Collision with Stationary Object,Driver Rider,No Traffic Control,Yes
Minor,City,2,Saturday,Morning,50km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,3,Saturday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Saturday,Day,90km/h or above,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Give Way Sign,No
Minor,Metropolitan,2,Saturday,Day,50km/h,Slope,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Saturday,Afternoon,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,5,Saturday,Afternoon,60km/h,Slope,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Saturday,Evening,50km/h,Level,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,Yes
Minor,Country,1,Saturday,Afternoon,90km/h or above,Level,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Minor,City,1,Saturday,Night,50km/h,Level,Sealed,Dry,Night,Vehicle Control Loss,Driver Rider,Traffic Signals,No
Minor,Metropolitan,2,Saturday,Evening,50km/h,Slope,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,3,Sunday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Sunday,Evening,80km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,Yes
Fatality,Country,3,Sunday,Day,90km/h or above,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Severe,Metropolitan,1,Sunday,Afternoon,80km/h,Slope,Sealed,Dry,Daylight,Vehicle Control Loss,Driver Rider,No Traffic Control,No
Severe,Country,2,Sunday,Night,80km/h,Level,Sealed,Dry,Night,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Severe,Metropolitan,2,Monday,Night,50km/h,Level,Sealed,Dry,Night,Collision with Person/Animal,Pedestrian,Traffic Signals,No
Minor,Metropolitan,2,Monday,Morning,60km/h,Level,Sealed,Dry,Daylight,Collision with Stationary Object,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Monday,Morning,60km/h,Slope,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Stop Sign,No
Minor,Metropolitan,2,Monday,Morning,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,Yes
Severe,Country,2,Sunday,Day,50km/h,Level,Sealed,Dry,Daylight,Collision with Person/Animal,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Monday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,Traffic Signals,No
Minor,Metropolitan,2,Sunday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
Minor,Metropolitan,2,Monday,Day,60km/h,Level,Sealed,Dry,Daylight,Collision with Vehicle,Driver Rider,No Traffic Control,No
